trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",30,16,-7.303324931030568,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",30,0,-10.07469990116688,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",20,9,2.2124645557233715,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",30,0,-10.146267265667579,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",25,12,19.918248654744666,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,10,-48.53101027475501,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",20,11,-7.764914595673524,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,5,-6.883461901823526,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",25,13,9.637136526949755,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",25,0,-59.03860362442624,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",20,15,4.6155848806381625,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",25,6,1.68339358197469,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",30,4,-84.18675376607084,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",20,0,-84.49883415018233,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",20,11,5.563909978925638,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",30,3,15.949289200534356,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",20,3,-9.987683479564014,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",35,18,-79.45222309886427,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",25,0,-36.500494344573774,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,5,-42.20081573081031,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",20,8,12.690641327922156,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",20,0,-1.1318709543901753,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",25,0,-18.91646306547363,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",30,16,-16.7458157054419,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",25,7,14.017778369561867,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",20,13,12.74853732988668,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",30,0,-89.05674713740264,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",20,0,-26.190453469355866,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,6,-63.00602252872404,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",30,10,-9.201555539294354,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,8,-7.948738744911793,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",20,12,0.40541004718875717,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",25,0,-7.509443203590335,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",25,0,-72.60853088765184,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
